route_id,vehicle_id,swap,swap_cost_pln,overrun_cost_pln,total_cost_pln
404,116,False,0.0,0.0,0.0
457,142,False,0.0,0.0,0.0
406,144,False,0.0,0.0,0.0
407,117,False,0.0,0.0,0.0
408,93,False,0.0,0.0,0.0
409,95,False,0.0,0.0,0.0
410,131,False,0.0,0.0,0.0
411,109,False,0.0,0.0,0.0
394,134,False,0.0,0.0,0.0
393,145,False,0.0,0.0,0.0
392,122,False,0.0,0.0,0.0
391,154,False,0.0,0.0,0.0
373,135,False,0.0,0.0,0.0
374,146,False,0.0,0.0,0.0
375,151,False,0.0,0.0,0.0
376,152,False,0.0,0.0,0.0
377,159,False,0.0,0.0,0.0
378,139,False,0.0,0.0,0.0
379,160,False,0.0,0.0,0.0
380,148,False,0.0,0.0,0.0
413,157,False,0.0,0.0,0.0
381,129,False,0.0,0.0,0.0
383,133,False,0.0,0.0,0.0
384,137,False,0.0,0.0,0.0
385,150,False,0.0,0.0,0.0
386,155,False,0.0,0.0,0.0
387,140,False,0.0,0.0,0.0
388,161,False,0.0,0.0,0.0
389,162,False,0.0,0.0,0.0
390,168,False,0.0,0.0,0.0
382,51,True,1915.746,0.0,1323.295
414,169,False,0.0,0.0,0.0
412,143,False,0.0,0.0,0.0
416,102,True,1915.746,0.0,1379.874
438,147,False,0.0,0.0,0.0
439,163,False,0.0,0.0,0.0
440,166,False,0.0,0.0,0.0
441,178,False,0.0,0.0,0.0
442,19,True,1671.7559999999999,0.0,1277.144
443,6,True,1915.746,0.0,1498.7930000000001
444,4,True,1915.746,0.0,1542.162
445,173,False,0.0,0.0,0.0
415,71,True,1671.7559999999999,0.0,1422.318
446,15,True,1915.746,0.0,1542.6390000000001
448,156,False,0.0,0.0,0.0
449,124,True,1671.7559999999999,0.0,1443.3690000000001
450,119,True,1671.7559999999999,0.0,1451.183
451,77,True,1915.746,0.0,1558.767
452,174,False,0.0,0.0,0.0
453,158,False,0.0,0.0,0.0
454,176,False,0.0,0.0,0.0
455,73,True,1671.7559999999999,0.0,1667.616
447,179,False,0.0,0.0,0.0
436,70,True,1915.746,0.0,1560.271
437,21,True,1915.746,0.0,1668.1620000000003
434,25,True,1915.746,0.0,1678.4360000000001
417,79,True,1915.746,0.0,1679.2440000000001
418,164,False,0.0,0.0,0.0
419,83,True,1924.054,0.0,1420.3899999999999
420,165,False,0.0,0.0,0.0
421,167,False,0.0,0.0,0.0
422,170,False,0.0,0.0,0.0
435,171,False,0.0,0.0,0.0
424,47,True,1924.054,0.0,1421.037
423,180,True,1671.7559999999999,0.0,1671.7559999999999
426,172,False,0.0,0.0,0.0
427,177,False,0.0,0.0,0.0
428,82,True,1737.712,0.0,1673.777
429,84,True,2005.9119999999998,0.0,1472.2649999999999
